shear_rate_per_s,mu_newtonian_Pa_s,mu_casson_Pa_s,mu_cy_Pa_s,mu_cross_Pa_s,mu_walburn_Pa_s,mu_hb_Pa_s
0.010000,0.00350000,0.65135904,0.05598146,0.05553883,0.06523023,2.03371659
0.012155,0.00350000,0.54391266,0.05597262,0.05543749,0.06161737,1.67804564
0.014774,0.00350000,0.45482489,0.05595958,0.05531417,0.05820461,1.38526531
0.017957,0.00350000,0.38090526,0.05594033,0.05516424,0.05498087,1.14423196
0.021826,0.00350000,0.31952290,0.05591194,0.05498219,0.05193569,0.94577728
0.026529,0.00350000,0.26850797,0.05587011,0.05476143,0.04905916,0.78235810
0.032246,0.00350000,0.22607037,0.05580856,0.05449418,0.04634195,0.64776830
0.039194,0.00350000,0.19073290,0.05571818,0.05417133,0.04377524,0.53690182
0.047639,0.00350000,0.16127620,0.05558582,0.05378226,0.04135070,0.44555760
0.057904,0.00350000,0.13669342,0.05539276,0.05331480,0.03906043,0.37027918
0.070381,0.00350000,0.11615288,0.05511283,0.05275516,0.03689702,0.30822272
0.085547,0.00350000,0.09896735,0.05471036,0.05208803,0.03485343,0.25704837
0.103980,0.00350000,0.08456867,0.05413858,0.05129682,0.03292303,0.21483093
0.126385,0.00350000,0.07248695,0.05333965,0.05036414,0.03109954,0.17998639
0.153617,0.00350000,0.06233335,0.05224809,0.04927249,0.02937705,0.15121141
0.186718,0.00350000,0.05378592,0.05079983,0.04800544,0.02774997,0.12743355
0.226951,0.00350000,0.04657794,0.04894743,0.04654896,0.02621300,0.10777042
0.275853,0.00350000,0.04048831,0.04667858,0.04489329,0.02476116,0.09149590
0.335292,0.00350000,0.03533358,0.04402999,0.04303482,0.02338973,0.07801250
0.407539,0.00350000,0.03096148,0.04108788,0.04097809,0.02209426,0.06682853
0.495354,0.00350000,0.02724545,0.03797191,0.03873738,0.02087054,0.05753939
0.602089,0.00350000,0.02408024,0.03480986,0.03633756,0.01971460,0.04981208
0.731824,0.00350000,0.02137825,0.03171425,0.03381387,0.01862268,0.04337254
0.889513,0.00350000,0.01906646,0.02876917,0.03121042,0.01759124,0.03799521
1.081181,0.00350000,0.01708395,0.02602774,0.02857738,0.01661692,0.03349442
1.314147,0.00350000,0.01537984,0.02351660,0.02596723,0.01569657,0.02971733
1.597312,0.00350000,0.01391155,0.02124285,0.02343066,0.01482720,0.02653810
1.941492,0.00350000,0.01264346,0.01920077,0.02101274,0.01400597,0.02385313
2.359833,0.00350000,0.01154564,0.01737716,0.01874996,0.01323024,0.02157710
2.868317,0.00350000,0.01059299,0.01575502,0.01666858,0.01249746,0.01963974
3.486365,0.00350000,0.00976437,0.01431598,0.01478418,0.01180527,0.01798316
4.237587,0.00350000,0.00904196,0.01304173,0.01310250,0.01115142,0.01655968
5.150678,0.00350000,0.00841072,0.01191479,0.01162086,0.01053379,0.01532997
6.260517,0.00350000,0.00785790,0.01091900,0.01033018,0.00995036,0.01426163
7.609497,0.00350000,0.00737273,0.01003959,0.00921688,0.00939925,0.01332793
9.249147,0.00350000,0.00694603,0.00926328,0.00826474,0.00887866,0.01250683
11.242100,0.00350000,0.00656999,0.00857815,0.00745633,0.00838690,0.01178011
13.664483,0.00350000,0.00623796,0.00797360,0.00677421,0.00792238,0.01113275
16.608828,0.00350000,0.00594424,0.00744023,0.00620164,0.00748359,0.01055231
20.187603,0.00350000,0.00568395,0.00696969,0.00572314,0.00706910,0.01002853
24.537511,0.00350000,0.00545289,0.00655460,0.00532472,0.00667757,0.00955289
29.824713,0.00350000,0.00524747,0.00618845,0.00499398,0.00630772,0.00911835
36.251170,0.00350000,0.00506454,0.00586546,0.00472013,0.00595836,0.00871905
44.062364,0.00350000,0.00490143,0.00558057,0.00449386,0.00562835,0.00835013
53.556669,0.00350000,0.00475579,0.00532927,0.00430723,0.00531662,0.00800755
65.096752,0.00350000,0.00462559,0.00510761,0.00415350,0.00502215,0.00768794
79.123426,0.00350000,0.00450906,0.00491209,0.00402704,0.00474399,0.00738847
96.172487,0.00350000,0.00440464,0.00473963,0.00392310,0.00448124,0.00710680
116.895182,0.00350000,0.00431099,0.00458752,0.00383775,0.00423304,0.00684092
142.083083,0.00350000,0.00422691,0.00445335,0.00376770,0.00399859,0.00658919
172.698329,0.00350000,0.00415137,0.00433500,0.00371024,0.00377712,0.00635018
209.910372,0.00350000,0.00408344,0.00423061,0.00366313,0.00356792,0.00612270
255.140652,0.00350000,0.00402230,0.00413853,0.00362452,0.00337031,0.00590573
310.116893,0.00350000,0.00396725,0.00405732,0.00359289,0.00318364,0.00569840
376.939098,0.00350000,0.00391765,0.00398568,0.00356697,0.00300731,0.00549995
458.159767,0.00350000,0.00387292,0.00392250,0.00354575,0.00284074,0.00530974
556.881399,0.00350000,0.00383258,0.00386677,0.00352837,0.00268340,0.00512719
676.875001,0.00350000,0.00379617,0.00381761,0.00351415,0.00253478,0.00495182
822.724134,0.00350000,0.00376329,0.00377425,0.00350250,0.00239439,0.00478319
1000.000000,0.00350000,0.00373359,0.00373600,0.00349296,0.00226177,0.00462091
