channel_id,type,Q_m3s,V_ms,Re,tau_w_Pa,dP_Pa,L_m,Dh_m
ch_0,straight,1.395335e-6,2.790671,563.45,117.2082,6837.92,0.010000,0.000667
ch_1,straight,3.750433e-7,0.750087,151.45,31.5036,3162.08,0.017205,0.000667
ch_2,straight,6.452488e-7,1.290498,260.56,54.2009,3162.08,0.010000,0.000667
ch_3,straight,3.750433e-7,0.750087,151.45,31.5036,3162.08,0.017205,0.000667
ch_4,straight,0.000000e0,0.000000,0.00,0.0000,0.00,0.010000,0.000667
ch_5,straight,0.000000e0,0.000000,0.00,0.0000,0.00,0.010000,0.000667
ch_6,straight,0.000000e0,0.000000,0.00,0.0000,0.00,0.010000,0.000667
ch_7,straight,0.000000e0,0.000000,0.00,0.0000,0.00,0.010000,0.000667
ch_8,straight,0.000000e0,0.000000,0.00,0.0000,0.00,0.010000,0.000667
ch_9,straight,0.000000e0,0.000000,0.00,0.0000,0.00,0.010000,0.000667
ch_10,straight,3.750433e-8,0.075009,15.14,3.1504,316.21,0.017205,0.000667
ch_11,straight,6.452488e-8,0.129050,26.06,5.4201,316.21,0.010000,0.000667
ch_12,straight,3.750433e-8,0.075009,15.14,3.1504,316.21,0.017205,0.000667
ch_13,straight,1.395335e-7,0.279067,56.34,11.7208,683.79,0.010000,0.000667
