channel_id,type,Q_m3s,V_ms,Re,tau_w_Pa,dP_Pa,L_m,Dh_m
ch_0,serpentine(6t),2.856822e-7,1.190342,157.31,76.3803,6636.84,0.009121,0.000436
ch_1,serpentine(0t),1.428411e-7,0.595171,78.66,38.1902,5363.16,0.014741,0.000436
ch_2,serpentine(0t),1.428411e-7,0.595171,78.66,38.1902,5363.16,0.014741,0.000436
ch_3,serpentine(5t),0.000000e0,0.000000,0.00,0.0000,0.00,0.010496,0.000436
ch_4,serpentine(5t),0.000000e0,0.000000,0.00,0.0000,0.00,0.010496,0.000436
ch_5,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013999,0.000436
ch_6,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013697,0.000436
ch_7,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013697,0.000436
ch_8,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013999,0.000436
ch_9,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009713,0.000436
ch_10,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009121,0.000436
ch_11,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009121,0.000436
ch_12,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009713,0.000436
ch_13,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009713,0.000436
ch_14,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009121,0.000436
ch_15,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009121,0.000436
ch_16,serpentine(6t),0.000000e0,0.000000,0.00,0.0000,0.00,0.009713,0.000436
ch_17,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013999,0.000436
ch_18,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013697,0.000436
ch_19,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013697,0.000436
ch_20,serpentine(0t),0.000000e0,0.000000,0.00,0.0000,0.00,0.013999,0.000436
ch_21,serpentine(5t),0.000000e0,0.000000,0.00,0.0000,0.00,0.010496,0.000436
ch_22,serpentine(5t),0.000000e0,0.000000,0.00,0.0000,0.00,0.010496,0.000436
ch_23,serpentine(0t),1.190342e-8,0.049598,6.55,3.1825,446.93,0.014741,0.000436
ch_24,serpentine(0t),1.190342e-8,0.049598,6.55,3.1825,446.93,0.014741,0.000436
ch_25,serpentine(6t),2.380685e-8,0.099195,13.11,6.3650,553.07,0.009121,0.000436
